fpr,tpr
0.0,0.0
5.619871866921434e-05,0.0023375409069658717
8.429807800382151e-05,0.005142589995324918
8.429807800382151e-05,0.008415147265077139
9.83477576711251e-05,0.009817671809256662
0.0001826458356749466,0.02431042543244507
0.00032314263234798247,0.06124357176250585
0.00032314263234798247,0.06264609630668537
0.0003933910306845004,0.06778868630201028
0.0012785208497246264,0.17484805984104723
0.0014752163650668766,0.19448340345956056
0.00148926604473418,0.19588592800374008
0.0015173654040687872,0.20149602618045817
0.001531415083736091,0.2028985507246377
0.0015876138024053053,0.20944366526414213
0.0016157131617399124,0.21224871435250117
0.0017843093177475555,0.22253389434315102
0.0019107564347532876,0.2370266479663394
0.0020091041924244126,0.25245441795231416
0.0020934022704282343,0.2557269752220664
0.0021215016297628413,0.2557269752220664
0.003147128245476003,0.3127629733520337
0.003161177925143307,0.3155680224403927
0.004158705181521861,0.3632538569424965
0.004327301337529505,0.36746143057503505
0.005100033719231202,0.4170172978027116
0.005128133078565808,0.4174848059841047
0.005282679554906148,0.42496493688639553
0.005423176351579184,0.434315100514259
0.005451275710913792,0.43525011687704535
0.005662020905923345,0.4413277232351566
0.005788468022929078,0.4492753623188406
0.005816567382263684,0.45021037868162694
0.006097560975609756,0.4595605423094904
0.0061397100146116665,0.4600280504908836
0.0070107901539844895,0.4890135577372604
0.007038889513319096,0.4890135577372604
0.0070529391929864,0.4890135577372604
0.007460379903338204,0.501168770453483
0.007502528942340114,0.501168770453483
0.007685174778015062,0.5053763440860215
0.008162863886703384,0.517531556802244
0.008205012925705295,0.5179990649836372
0.008387658761380241,0.5198690977092099
0.008500056198718669,0.525479195885928
0.009019894346408902,0.533426834969612
0.009427335056760706,0.53903693314633
0.009595931212768348,0.5418419822346892
0.010298415196133528,0.5493221131369799
0.010719905586152635,0.5539971949509116
0.012490165224232887,0.5787751285647499
0.0129257052939193,0.5829827021972884
0.01351579183994605,0.5867227676484339
0.013979431268967068,0.5928003740065451
0.014948859166011016,0.6049555867227676
0.015300101157693605,0.6086956521739131
0.015932336742722267,0.6175783076203833
0.016381926492075982,0.6203833567087425
0.016676969765089356,0.6213183730715287
0.016873665280431605,0.6241234221598878
0.017267056311116108,0.6306685366993923
0.018981117230527145,0.6451612903225806
0.019262110823873215,0.6484338475923329
0.01964145217489041,0.6521739130434783
0.020161290322580645,0.6535764375876578
0.02069517814993818,0.6559139784946236
0.022184444194672363,0.6661991584852734
0.022198493874339666,0.6666666666666666
0.022619984264358774,0.6685366993922394
0.02433404518376981,0.678354371201496
0.024994380128133077,0.6834969611968209
0.024994380128133077,0.6839644693782141
0.02523322468247724,0.6867695184665732
0.02523322468247724,0.6872370266479664
0.02597785770484433,0.6923796166432913
0.026834888164549847,0.6979897148200094
0.027720017983589973,0.7045348293595138
0.028225806451612902,0.707807386629266
0.02923738338765876,0.7152875175315568
0.029686973137012476,0.7180925666199158
0.03024896032370462,0.7223001402524544
0.031063841744408228,0.7297802711547452
0.03165392829043498,0.7311827956989247
0.03206136900078678,0.7330528284244975
0.03228616387546364,0.7353903693314633
0.033396088569180624,0.7419354838709677
0.03364898280319209,0.7442730247779337
0.035208497246262786,0.7540906965871903
